HolderAddress,Balance
0x0018cbfac89df49e8d3e6d2ff08edf29d98e0734,35000000
0x003c9f72c550fabb7ac70493d5cc9a4fe1702770,10000000
0x004520c73dd582225b40683114383684d5bae753,10000000
0x00474741e0aa6f69943ee8f2ff4d08587395c22c,10000000
0x007541d1dd2d2b88d34cd4ae6e766d33b3663a15,10000000
0x00e5d6e01bdad189861fbea7b8522027eaeaa0fe,10000000
0x0106a6e763771c884c8cbf02fbaecd032c25c6b9,20000000
0x012d4747998ff4efc62dc97c2edfa02096a06e66,10000000
0x016825b328918b568579451687db5149d1481077,10000000
0x0180baa3cca07402f3d2b09b2f2437c677e56d06,10000000
0x01a0e2b97b82b0c9bf1f5d369d208463fbcd7095,10000000
0x01cc97fde27efd45de4f535e375f5b31217bac37,10000000
0x01cdacf8e27c12ebd74b8f816f24d938fed9550f,10000000
0x01ce9a439302c9cb8f382eb33401d92d8a5ab80c,100000000
0x01d341e103c596cd7a36c98ae327196bff8d1c77,100000000
0x01e1ef7dee6dfa19eb5e1e8fa64bf8f55a6dbdf3,10000000
0x01fe2b602738f1dd8290623476bde91e86053338,10000000
0x02174099b05406c3a8acbff1738c2ea39511f8a3,10000000
0x024674aa3fc3fae5858b074b9ded766397ef11ae,10000000
0x028c0d3a88d9586849b87ec377906c9ce35b5dd4,10000000
0x02c742f119542383c34e5196e3c5639e85446f3c,10000000
0x02feef296beaf6615bd0cdadce9db30cae525cce,10000000
0x03342763bf9c60928adeb9f7abab2adb77f2353b,10000000
0x03580b7f4add5c7a9a7bcb3a9c692cd0ee9f00ac,10000000
0x0358c93c80841df3be36282080e4f84e5fd7377c,9823.57207492559
0x038d0b47f65c60018b46a8829e2f20e28019368d,10000000
0x03bd77990f28a2393792fa111e553f4665121c88,99869.439283257
0x03ebf19c6457ebc42083e5397a002c2f0672ed17,10000000
0x04873bb7e048711d4485d18bb44004f9a1162adc,10000000
0x049ad303ff49695f182beb423d82923fcc2d629b,5047343560.81178
0x04dd3797aa7488580390206603789740709894e0,10000000
0x04ef9dfd898aaa33cbb0c5c6f01b339ea2e9ea14,10000000
0x05ab1fba18fb6fdb74b61ce4989e614925d3bdfa,10000000
0x05bc2edea4a7b7f425a1add03e5af72767546463,10000000
0x05d031bf6a399794bee59d615cb604ab93a6ee42,10000000
0x062bc80aeae28b549b262b19d40e86d3e6aafd43,10000000
0x062f2c1f08e56e16b8206a8dff60977f87420eb8,173231471.059559
0x06406079d18fce29e85a5893242fb288c7f3c45d,9904.80191700236
0x06428270f666a234011b76eb3c4a5deea67b5e54,10000000
0x06a0ae4edff2b4cdbed49bd3d93357a9fdb9c000,10000000
0x06a8e682e1878947e206a06877c9387988497386,10000000
0x06d66cec581d07660c7bac9c0fefc1f708a778ea,10000000
0x074470249db4680309fa8dcbba20429e69af68b5,10000000
0x075f55635a21186c8270de35b679e8e41afed097,10000000
0x076edee355c0b4e5b1371085c24e27a2fc07d71a,10000000
0x07860d14632b263006e8f4193c98094c16f3eac4,10000000
0x07d80ae6f36a5e08dca74ce884a24d39db9934ed,69236488.5002519
0x083226eb6904f32afe54fdb2766485a4858b6498,105717628085.346
0x084788228bbbe7b5a08e6f3d147400fa52e3f8d1,10000000
0x084ddf4e3719a56619a2ec745dc7e5651a5ef658,153344355.462197
0x086bc52c69e23b6bae2a0029e225d196e704ded3,10000000
0x08a207cf06e49390cbdb2dae79e03967efdf41a4,10000000
