"HolderAddress","Balance","PendingBalanceUpdate"
"0x0018cbfac89df49e8d3e6d2ff08edf29d98e0734","1366218881.12654","No"
"0x03015d72162b67ada576b05613fe34ab676d8556","13667013351.3094","No"
"0x03bd77990f28a2393792fa111e553f4665121c88","99869.439283257","No"
"0x049ad303ff49695f182beb423d82923fcc2d629b","6828084244.43805","No"
"0x062f2c1f08e56e16b8206a8dff60977f87420eb8","173231471.059559","No"
"0x06e2652a64b5c5b3a0f50307c99b148f27a7a62b","13659669655.8804","No"
"0x07d80ae6f36a5e08dca74ce884a24d39db9934ed","27999738.0184518","No"
"0x07f5a2a88070126b14dcb6a3c6a68f6f655f0c14","10924094104.8627","No"
"0x084ddf4e3719a56619a2ec745dc7e5651a5ef658","153344355.462197","No"
"0x09a22e49140d1c39b71e61a44227ed83d86d6295","0.78087617108536","No"
"0x09ac41b154917fa3cd6517e4777b5b88cc7726ad","1365448700.89194","No"
"0x0b12c3301e43da7fa7c8b35cb86d1e45132ba3a6","6840170774.73528","No"
"0x0e4da865e7021c905fd9f6e82915cf30b881da20","13664287068.8096","No"
"0x116d402f6004dc53856a204a654d2c17eab835cb","12291182032.3091","No"
"0x134c6b07c5f1b9131aabaf1fae3618a42ecc3d31","6168223557.35742","No"
"0x13c50aac4d573e78f09e0269d78885e5098eba15","27380261826.2233","No"
"0x17848d13472703a3f92ea26bfc38eb06e4e62a77","1368340660.15849","No"
"0x18c426a4e1d9ef4d9ffe99d66b1c450e3229f58e","58633.697092808","No"
"0x1a4946845340e4aea4d7b8e0b6afc12ab293ea9c","20536703937.9171","No"
"0x1caae2240ca0aa3d5f46dea853c34e5bd043a137","691646.018140279","No"
"0x1cfb034713e5ac0d736dbf9e9249461a2ea78123","13661419215.9407","No"
"0x1cff152032b4c4e4bdb42eadce76e1cc72d8147b","13661730457.6991","No"
"0x1e718f95806ea3f28998c7d883f4f78ee5651c7c","139671300.985078","No"
"0x1f5c6d41e01bf3980013f705306b531b96aeea8b","100000130.99247","No"
"0x1f6d8510ffd380053d04c5a0b86888446b011a3d","19851617015.1763","No"
"0x21be0c5c7bb0edf0cd8c1a14c10a94264b444161","1983006712.48623","No"
"0x2410fc8bd069edf114a2638766450541e8a0715b","3971341951.00067","No"
"0x24f627880855f67800aadf2c8ab6e0a83a95e26e","19850220749.1307","No"
"0x2a46932d9c25af519d8834838edac506e59f49fa","26077.4303550177","No"
"0x2c2cb7c12c464840548fe3a2b5a5522ff4d6dce4","1365554392.09667","No"
"0x2c7cc6dd30d1035962d9ddb263cf392152c789c5","23636683019.3665","No"
"0x33ea5670ab06045e829d8dd8ec837cddd8078c61","13665988387.6361","No"
"0x345cfa3e4d33d4ea97b1b2dc4b4c651ac2a33d7a","351001297.562568","No"
